code,group,sub_group,parent,type,name,url,provider,available,quantity,performance,hours_day,uom_id,price,
,,,060103,7,Demolición de cercha ligera de madera. de 4 m de luz entre apoyos. con medios manuales y motosierra. y carga manual sobre camión o contenedor. El precio incluye el picado de las entregas de la cercha en los muros de apoyo,,,,,,,,,
031101,03,0311,031101,2,Muro de carga de fábrica de bloque de hormigón. 15 mm,,,,1.000,20.20,8,m2,,
MAT0012,,,031101,3,Bloque de hormigón. liso estándar. color gris. 40x20x15 cm. categoría II. resistencia normalizada R10 (10 N/mm2). densidad 1200 kg/m3. para revestir. Según UNE-EN 771-3.,,,,12.128,,,Ud,0.64,
MAT0013,,,031101,3,Medio bloque de hormigón. liso estándar. color gris. 20x20x15 cm. categoría II. resistencia normalizada R10 (10 N/mm2). densidad 1200 kg/m3. para revestir. Según UNE-EN 771-3.,,,,0.515,,,Ud,0.41,
MAT0014,,,031101,3,Bloque de esquina de hormigón. liso estándar. color gris. 40x20x15 cm. categoría II. resistencia normalizada R10 (10 N/mm2). densidad 1200 kg/m3. para revestir. Según UNE-EN 771-3.,,,,0.536,,,Ud,1.01,
MAT0009,,,031101,3,Agua.,,,,0.004,,,m3,1.50,
MAT0015,,,031101,3,Mortero industrial para albañilería. de cemento. color gris. categoría M-7.5 (resistencia a compresión 7.5 N/mm2). suministrado a granel. según UNE-EN 998-2.,,,,0.021,,,t,37.75,
MAQ0004,,,031101,5,Mezclador continuo con silo. para mortero industrial en seco. suministrado a granel.,,,0.20,0.079,,,h,1.94,
O01OA080,,,031101,4,Oficial 1ª ,,,0.96,0.382,,,h,22.27,
O01OA070,,,031101,4,Peón ordinario,,,1,0.396,,,h,21.15,
,,,031101,7,Muro de carga de 15 cm de espesor de fábrica de bloque de hormigón. liso estándar. color gris. 40x20x15 cm. resistencia normalizada R10 (10 N/mm2). para revestir. con juntas horizontales y verticales de 10 mm de espesor. junta rehundida. recibida con mortero de cemento industrial. color gris. M-7.5. suministrado a granel. con piezas especiales tales como medios bloques y bloques de esquina. El precio no incluye los zunchos horizontales ni la formación de los dinteles de los huecos del paramento.,,,,,,,,,
031102,03,0311,031102,2,Muro de carga de fábrica de bloque de hormigón. 20 mm,,,,1.000,17.39,8,m2,,
MAT0016,,,031102,3,Bloque de hormigón. liso estándar. color gris. 40x20x20 cm. categoría II. resistencia normalizada R10 (10 N/mm2). densidad 1200 kg/m3. para revestir. Según UNE-EN 771-3.,,,,12.128,,,Ud,0.64,
MAT0017,,,031102,3,Medio bloque de hormigón. liso estándar. color gris. 20x20x20 cm. categoría II. resistencia normalizada R10 (10 N/mm2). densidad 1200 kg/m3. para revestir. Según UNE-EN 771-3.,,,,0.515,,,Ud,0.41,
MAT0018,,,031102,3,Bloque de esquina de hormigón. liso estándar. color gris. 40x20x20 cm. categoría II. resistencia normalizada R10 (10 N/mm2). densidad 1200 kg/m3. para revestir. Según UNE-EN 771-3.,,,,0.536,,,Ud,1.01,
MAT0009,,,031102,3,Agua.,,,,0.005,,,m3,1.50,
MAT0015,,,031102,3,Mortero industrial para albañilería. de cemento. color gris. categoría M-7.5 (resistencia a compresión 7.5 N/mm2). suministrado a granel. según UNE-EN 998-2.,,,,0.028,,,t,37.75,
MAQ0004,,,031102,5,Mezclador continuo con silo. para mortero industrial en seco. suministrado a granel.,,,0.23,0.107,,,h,1.94,
O01OA080,,,031102,4,Oficial 1ª ,,,0.95,0.439,,,h,22.27,
O01OA070,,,031102,4,Peón ordinario,,,1,0.460,,,h,21.15,
,,,031102,7,Muro de carga de 20 cm de espesor de fábrica de bloque de hormigón. liso estándar. color gris. 40x20x20 cm. resistencia normalizada R10 (10 N/mm2). para revestir. con juntas horizontales y verticales de 10 mm de espesor. junta rehundida. recibida con mortero de cemento industrial. color gris. M-7.5. suministrado a granel. con piezas especiales tales como medios bloques y bloques de esquina. El precio no incluye los zunchos horizontales ni la formación de los dinteles de los huecos del paramento.,,,,,,,,,
031103,03,0311,031103,2,Hoja de partición interior. de fábrica de bloque de hormigón para revestir. 10 mm,,,,1.000,23.74,8,m2,,
MAT0019,,,031103,3,"Bloque hueco de hormigón. para revestir. color gris. 40x20x10 cm. categoría II. resistencia normalizada R10 (10 N/mm2). densidad 1200 kg/m3, con el precio incrementado el 20% en concepto de piezas especiales: zunchos y medios. Según UNE-EN 771-3.",,,,13.000,,,Ud,0.56,
MAT0009,,,031103,3,Agua.,,,,0.004,,,m3,1.50,
MAT0020,,,031103,3,Mortero industrial para albañilería. de cemento. color gris. categoría M-5 (resistencia a compresión 5 N/mm2). suministrado a granel. según UNE-EN 998-2.,,,,0.013,,,t,36.77,
MAQ0004,,,031103,5,Mezclador continuo con silo. para mortero industrial en seco. suministrado a granel.,,,0.15,0.050,,,h,1.94,
O01OA080,,,031103,4,Oficial 1ª ,,,1.00,0.337,,,h,22.27,
O01OA070,,,031103,4,Peón ordinario,,,0.53,0.179,,,h,21.15,
,,,031103,7,Hoja de partición interior. de 10 cm de espesor. de fábrica de bloque hueco de hormigón. para revestir. color gris. 40x20x10 cm. resistencia normalizada R10 (10 N/mm2). con juntas horizontales y verticales de 10 mm de espesor. junta rehundida. recibida con mortero de cemento industrial. color gris. M-5. suministrado a granel.,,,,,,,,,
031104,03,0311,031104,2,Hoja de partición interior. de fábrica de bloque de hormigón para revestir. 15 mm,,,,1.000,20.10,8,m2,,
MAT0021,,,031104,3,"Bloque hueco de hormigón. para revestir. color gris. 40x20x15 cm. categoría II. resistencia normalizada R10 (10 N/mm2). densidad 1200 kg/m3, con el precio incrementado el 20% en concepto de piezas especiales: zunchos y medios. Según UNE-EN 771-3.",,,,13.000,,,Ud,0.77,
MAT0009,,,031104,3,Agua.,,,,0.004,,,m3,1.50,
MAT0020,,,031104,3,Mortero industrial para albañilería. de cemento. color gris. categoría M-5 (resistencia a compresión 5 N/mm2). suministrado a granel. según UNE-EN 998-2.,,,,0.013,,,t,36.77,
MAQ0004,,,031104,5,Mezclador continuo con silo. para mortero industrial en seco. suministrado a granel.,,,0.20,0.079,,,h,1.94,
O01OA080,,,031104,4,Oficial 1ª ,,,1.00,0.398,,,h,22.27,
O01OA070,,,031104,4,Peón ordinario,,,0.55,0.217,,,h,21.15,
,,,031104,7,Hoja de partición interior. de 15 cm de espesor. de fábrica de bloque hueco de hormigón. para revestir. color gris. 40x20x15 cm. resistencia normalizada R10 (10 N/mm2). con juntas horizontales y verticales de 10 mm de espesor. junta rehundida. recibida con mortero de cemento industrial. color gris. M-5. suministrado a granel.,,,,,,,,,
031105,03,0311,031105,2,Hoja de partición interior. de fábrica de bloque de hormigón para revestir. 20 mm,,,,1.000,17.82,8,m2,,
MAT0022,,,031105,3,"Bloque hueco de hormigón. para revestir. color gris. 40x20x20 cm. categoría II. resistencia normalizada R10 (10 N/mm2). densidad 1150 kg/m3, con el precio incrementado el 20% en concepto de piezas especiales: zunchos y medios. Según UNE-EN 771-3.",,,,13.000,,,Ud,0.91,
MAT0009,,,031105,3,Agua.,,,,0.005,,,m3,1.50,
MAT0020,,,031105,3,Mortero industrial para albañilería. de cemento. color gris. categoría M-5 (resistencia a compresión 5 N/mm2). suministrado a granel. según UNE-EN 998-2.,,,,0.028,,,t,36.77,
MAQ0004,,,031105,5,Mezclador continuo con silo. para mortero industrial en seco. suministrado a granel.,,,0.24,0.107,,,h,1.94,
O01OA080,,,031105,4,Oficial 1ª ,,,1.00,0.449,,,h,22.27,
O01OA070,,,031105,4,Peón ordinario,,,0.56,0.250,,,h,21.15,
